temp,spCond,pH,ODO,turb,fDOM,CHL,NO3
20.736,1176.04,7.78,97.26,50.64,49.37,5.63,32.54
20.736,1176.09,7.78,97.27,51.21,49.42,5.61,32.42
20.736,1176.08,7.78,97.28,50.77,49.47,5.58,32.24
20.736,1176.09,7.78,97.28,50.4,49.51,5.52,31.97
20.736,1176.11,7.78,97.28,50.65,49.55,5.51,31.92
20.736,1176.17,7.78,97.29,51,49.59,5.49,32.4
20.736,1176.19,7.78,97.3,51.18,49.65,5.45,32.91
20.736,1176.15,7.78,97.3,51.17,49.68,5.42,32.01
20.736,1176.1,7.78,97.31,51.17,49.72,5.38,32.03
20.736,1176.07,7.78,97.31,51.12,49.75,5.34,31.92
20.736,1176.01,7.78,97.31,51.18,49.77,5.34,32.18
20.736,1176.02,7.78,97.32,51.36,49.78,5.33,32.05
20.736,1176.02,7.78,97.32,51.69,49.78,5.35,32.16
20.736,1176.06,7.78,97.32,47.48,49.79,5.38,32.11
20.736,1176.06,7.78,97.32,56.82,49.8,5.43,32.38
20.735,1176.06,7.78,97.32,52.35,49.79,5.43,31.85
20.735,1176.1,7.78,97.32,61.16,49.81,5.44,31.93
20.735,1176.11,7.78,97.31,54.18,49.81,5.45,32.3
20.734,1176.09,7.78,97.31,53.35,49.81,5.46,31.89
20.734,1176.04,7.78,97.31,54.74,49.82,5.52,31.8
20.734,1176.05,7.78,97.31,53.08,49.82,5.56,32.19
20.733,1176.11,7.78,97.31,53.9,49.82,5.61,31.77
20.733,1176.11,7.78,97.3,54.27,49.8,5.67,31.71
20.732,1176.06,7.78,97.29,53.89,49.78,5.67,31.75
20.732,1176.09,7.78,97.29,50.02,49.74,5.68,31.88
20.731,1176.06,7.78,97.28,51.03,49.71,5.66,31.99
20.73,1175.94,7.78,97.26,59.28,49.49,5.57,31.68
20.735,1176.1,7.78,97.25,54.43,49.27,5.51,32.31
20.744,1176.4,7.78,97.26,50.99,49.39,5.28,31.66
20.753,1176.89,7.78,97.31,52.8,49.51,5.17,31.23
20.754,1176.87,7.78,97.33,53.36,49.58,5.24,31.48
20.757,1176.67,7.78,97.32,53.06,49.56,5.29,31.69
20.76,1176.51,7.78,97.36,51.85,49.69,5.53,31.77
20.75,1176.33,7.78,97.36,49.24,49.81,5.27,32.31
20.747,1176.29,7.78,97.35,50.42,49.86,5.23,31.96
20.745,1176.18,7.78,97.35,51.5,49.88,5.21,31.99
20.744,1176.19,7.78,97.34,51.48,49.91,5.23,31.9
20.744,1176.15,7.78,97.34,51.88,49.89,5.27,32.26
20.743,1176.12,7.78,97.34,54.07,49.84,5.33,31.7
20.743,1175.99,7.78,97.34,52.97,49.83,5.36,32.23
20.742,1175.97,7.78,97.34,51.66,49.86,5.37,32.21
20.744,1176.12,7.78,97.35,51.8,49.85,5.39,31.89
20.751,1176.31,7.78,97.37,51.73,49.82,5.27,31.88
20.756,1176.51,7.78,97.39,51.57,49.79,5.27,31.79
20.761,1176.73,7.78,97.4,51.46,49.81,5.31,31.84
20.767,1177.2,7.78,97.38,51.36,49.81,5.39,31.68
20.77,1177.15,7.77,97.12,51.01,49.91,5.43,30.96
20.766,1173.24,7.68,91.48,52.23,48.05,5.3,31.77
20.786,1177.14,7.78,97.69,46.77,50.54,4.9,31.46
20.787,1177.07,7.78,97.69,46.6,50.48,5.12,31.47
20.788,1177.07,7.78,97.69,46.68,50.48,5.12,32.05
20.788,1177.08,7.78,97.69,46.81,50.48,5.14,31.65
20.788,1177.03,7.78,97.69,46.94,50.48,5.16,31.41
20.788,1177.03,7.78,97.69,45.82,50.48,5.11,31.98
20.788,1177.1,7.78,97.7,48.03,50.47,5.04,31.44
20.788,1177.16,7.78,97.7,46.87,50.48,4.98,31.45
20.787,1177.19,7.78,97.69,44.58,50.47,4.96,31.27
20.787,1177.23,7.78,97.69,47.09,50.46,4.95,31.62
20.786,1177.23,7.78,97.69,45.17,50.44,4.97,31.49
20.786,1177.28,7.78,97.68,45.4,50.45,5.01,31.19
20.785,1177.32,7.78,97.68,45.73,50.44,5.03,31.67
20.785,1177.36,7.78,97.67,46.51,50.46,5.06,31.74
20.784,1177.42,7.78,97.67,46.57,50.47,5.07,31.32
20.783,1177.42,7.78,97.66,47.22,50.47,5.1,31.9
20.783,1177.46,7.78,97.66,47.48,50.48,5.15,31.64
20.782,1177.59,7.78,97.65,47.58,50.48,5.68,31.22
20.782,1177.63,7.78,97.65,47.86,50.45,5.11,31.17
20.782,1177.65,7.78,97.65,47.91,50.44,5.34,31.28
20.783,1177.73,7.78,97.65,47.88,50.44,5.34,30.82
20.783,1177.78,7.78,97.64,47.97,50.45,5.34,31.16
20.783,1177.79,7.78,97.64,47.89,50.45,5.39,31.5
20.784,1177.91,7.78,97.65,45.86,50.44,5.38,31.3
20.785,1177.92,7.78,97.65,46.08,50.46,5.37,31.42
20.786,1177.96,7.78,97.65,46.2,50.44,5.38,31.34
