temp,spCond,pH,ODO,turb,fDOM,CHL,NO3,cluster,SUBcluster
14.55,199.04,7.59,103.87,11.01,26.1,0.98,17.86,2,3
14.551,199.04,7.59,103.87,11.08,26.09,0.98,17.71,2,3
14.551,199.06,7.59,103.86,11.07,26.1,0.98,17.81,2,3
14.551,199.08,7.59,103.85,11.1,26.1,0.99,17.8,2,3
14.547,199.04,7.59,103.85,11.07,26.1,0.99,17.96,2,3
14.545,199.02,7.59,103.84,11.1,26.1,0.99,17.74,2,3
14.543,199.02,7.59,103.82,11.22,26.11,0.98,17.83,2,3
14.54,199.01,7.59,103.8,11.26,26.1,0.98,17.81,2,3
14.538,199.01,7.59,103.78,11.32,26.1,0.98,17.85,2,3
14.536,198.96,7.59,103.77,11.29,26.1,0.96,17.74,2,3
14.535,198.93,7.59,103.76,11.32,26.08,0.95,17.81,2,3
14.534,198.86,7.59,103.74,11.42,26.06,0.95,17.89,2,3
14.533,198.81,7.59,103.74,11.42,26.06,0.96,17.86,2,3
14.532,198.78,7.59,103.74,11.41,26.04,0.96,17.75,2,3
14.532,198.75,7.59,103.73,11.39,26.03,0.96,17.75,2,3
14.531,198.74,7.59,103.73,11.32,26.04,0.97,17.83,2,3
14.531,198.74,7.59,103.73,11.36,26.02,0.96,17.81,2,3
14.53,198.74,7.59,103.72,11.41,26.04,0.97,17.91,2,3
14.53,198.73,7.59,103.72,11.36,26.03,0.96,17.86,2,3
14.528,198.64,7.59,103.7,11.28,26.06,0.96,17.73,2,3
14.528,198.53,7.59,103.68,11,26.11,0.97,17.92,2,3
14.529,198.33,7.59,103.67,10.79,26.12,0.97,17.96,2,3
14.53,198.34,7.59,103.67,10.77,26.11,0.95,17.91,2,3
14.529,198.31,7.59,103.68,10.82,26.12,0.91,17.92,2,3
14.529,198.32,7.59,103.67,10.86,26.14,0.91,17.85,2,3
14.529,198.32,7.59,103.66,10.91,26.13,0.91,17.9,2,3
14.529,198.42,7.59,103.67,11.02,26.13,0.94,17.86,2,3
14.529,198.49,7.59,103.66,11.18,26.12,0.96,17.83,2,3
14.53,198.6,7.59,103.65,11.36,26.12,0.96,17.88,2,3
14.531,198.77,7.59,103.64,11.46,26.13,0.97,17.92,2,3
14.533,198.88,7.59,103.63,11.6,26.14,0.96,17.89,2,3
14.535,198.93,7.59,103.62,11.73,26.16,0.95,17.69,2,3
14.536,199.09,7.59,103.62,11.76,26.18,0.94,17.69,2,3
14.536,199.13,7.59,103.6,11.77,26.18,0.94,17.6,2,3
14.536,199.17,7.59,103.58,11.78,26.17,0.94,17.75,2,3
14.534,199.06,7.59,103.57,11.73,26.17,0.96,17.76,2,3
14.531,198.9,7.59,103.54,11.67,26.18,0.95,17.69,2,3
14.53,198.79,7.59,103.54,11.59,26.18,0.94,17.86,2,3
14.53,198.65,7.59,103.53,11.48,26.17,0.95,17.76,2,3
14.53,198.51,7.59,103.54,11.38,26.15,0.93,17.81,2,3
14.531,198.39,7.59,103.55,11.22,26.14,0.94,17.7,2,3
14.532,198.29,7.59,103.57,11.13,26.12,0.94,17.82,2,3
14.534,198.15,7.59,103.59,11.01,26.1,0.94,17.86,2,3
14.538,197.89,7.59,103.63,10.79,26.09,0.91,17.8,2,3
14.538,197.63,7.59,103.66,11.03,26.1,0.87,17.79,2,3
14.538,197.64,7.59,103.65,11.01,26.09,0.86,17.95,2,3
14.539,197.67,7.59,103.65,11.08,26.1,0.87,17.73,2,3
14.539,197.62,7.59,103.65,11.09,26.1,0.86,17.65,2,3
14.54,197.59,7.59,103.65,11.09,26.11,0.87,17.86,2,3
14.542,197.55,7.59,103.65,11.08,26.12,0.87,17.76,2,3
14.543,197.51,7.59,103.66,11.06,26.12,0.87,17.71,2,3
14.544,197.47,7.59,103.66,11.03,26.12,0.88,17.77,2,3
14.549,197.3,7.59,103.68,10.95,26.11,0.87,17.84,2,3
14.549,197.26,7.59,103.69,10.95,26.1,0.86,17.88,2,3
14.55,197.24,7.59,103.69,10.97,26.1,0.86,17.77,2,3
14.55,197.22,7.59,103.69,11.01,26.1,0.86,17.68,2,3
14.549,197.21,7.59,103.68,11,26.1,0.87,17.75,2,3
14.548,197.24,7.59,103.68,11.04,26.11,0.88,17.79,2,3
14.547,197.26,7.59,103.67,11,26.11,0.88,17.85,2,3
